name,current_price,original_price,discount,sizes,stock
"Teal By Chumbak Elephant Printed Wrist Watch (Quartz, Brown, PU Leather/Faux Leather)","1714","3295","47% OFF","NA","In Stock"
"Teal By Chumbak Ombre Aztec Women Watch (Quartz, Multicolour, Genuine Leather)","1409","2795","49% OFF","NA","In Stock"
"Teal By Chumbak Ikkat Glow Tote Bag (Brown)","1389","2995","53% OFF","NA","In Stock"
"Teal By Chumbak Rainforest Tote Bag (Brown)","1739","3495","50% OFF","NA","In Stock"
"Teal By Chumbak Ikkat Glow Rectangular Sling Bag (Teal, Red)","1199","2495","51% OFF","NA","In Stock"
"Teal By Chumbak Rainforest Long Wallet (Brown)","1129","1995","43% OFF","NA","In Stock"
"Teal By Chumbak Mercado Aztec Mini Wallet (Red)","689","1295","46% OFF","NA","In Stock"
"Teal By Chumbak Ikkat Glow Mini Wallet (Tan)","699","1295","46% OFF","NA","In Stock"
"Chumbak Floral Design Eyewear Case (Blue)","599","695","13% OFF","NA","In Stock"
"Chumbak Eyewear Case (Multicolour)","559","695","19% OFF","NA","In Stock"
"Begum Baag Wall Clock (Teal) - Teal By Chumbak","879","1595","44% OFF","NA","In Stock"
"Scooting Around Wall Clock (Red, Blue) - Chumbak","879","1595","44% OFF","NA","In Stock"
"Chumbak S Alphabet Mug (Ceramic, 300 ml)","579","695","16% OFF","NA","In Stock"
"Chumbak A Alphabet Mug (Ceramic, 300 ml)","579","695","16% OFF","NA","In Stock"
"Teal By Chumbak Urban Feathers Wrist Watch (Quartz, Golden, Stainless Steel)","1519","2995","49% OFF","NA","In Stock"
"Teal By Chumbak Ombra Green Wrist Watch (Quartz, Rose Gold, Stainless Steel)","1459","2795","47% OFF","NA","In Stock"
"Chumbak Marigold Design Cushion Cover Set (3 pcs, Cotton Blend, Multicolour)","1349","1795","24% OFF","NA","In Stock"
"Teal By Chumbak Wander Fragrance Perfume Gift Set","659","1295","49% OFF","NA","In Stock"
"Teal By Chumbak Sweet Dreams Fragrance Perfume Gift Set","659","1295","49% OFF","NA","In Stock"
"Chumbak E-Gift Card Instant Voucher","223","250","10% OFF","NA","In Stock"
"Chumbak Mosaic Musings Passport Cover (Multicolour)","1049","1295","18% OFF","NA","In Stock"
"Chumbak Wood Scenic Route Foldable Breakfast Tray (Multicolour)","2399","2995","19% OFF","NA","In Stock"
"Chumbak Wood Indian Say Foldable Breakfast Tray (Green)","2399","2995","19% OFF","NA","In Stock"
"Chumbak Friends Forever Mug (Ceramic, 500 ml)","359","395","9% OFF","NA","In Stock"
"Chumbak Let's Work Together Mug (Ceramic, 500 ml)","369","395","6% OFF","NA","In Stock"
"Chumbak Bohemian Spiral Unruled Notebook (A5, 160 pages, Multicolour)","329","395","16% OFF","NA","In Stock"
"Chumbak Spiral Unruled Notebook (A5, 160 pages, Multicolour)","334","395","15% OFF","NA","In Stock"
"Chumbak D Alphabet Mug (Ceramic, 300 ml)","569","695","18% OFF","NA","In Stock"
"Chumbak Kilim Owl Tote Bag (Multicolour)","899","1995","54% OFF","NA","In Stock"
"Chumbak Palace Memoirs Tumblers Gift Set (150 ml)","799","1299","38% OFF","NA","In Stock"
