name,unit,current_price,original_price,discount
"Chumbak Colored Borosilicate Set of 2 Martini Glasses","1 pack","1025","1599","36% OFF"
"Chumbak Elegant Jaipur Gardens Kasuti Serving Tray","1 Piece","999","1295","23% OFF"
"CHUMBAK Adorable Brother Mug (9.5cm)","1 Piece","370","395","6% OFF"
"CHUMBAK Friends Forever Ceramic Coffee Mug (300ml, Multicolor)","1 Piece","349","395","12% OFF"
"CHUMBAK Candle, Mug and Jewellery Org Combo (9.5cm)","1 pack","2028","2280","11% OFF"
"CHUMBAK Chettinad Steel Tumbler Small Set (Pack of 2)","2 pieces","809","895","10% OFF"
"CHUMBAK Sister Mug and Keychain Combo (9.5cm)","1 pack","702","790","11% OFF"
"CHUMBAK Ceramic Nightingale Mug - N (325ml, Cream, Green, Orange)","1 Piece","534","695","23% OFF"
"CHUMBAK Marigold Ceramic Kulhad Set (4 Pieces, 300ml, Yellow)","1 pack","1069","1595","33% OFF"
"Chumbak Floral Country Wooden Tissue Box for a Touch of Nature","1 Piece","746","995","25% OFF"
"CHUMBAK Ceramic Macaw Mug - M (325ml, Brown, Cream, Green, Yellow)","1 Piece","550","695","21% OFF"
"Chumbak Positive Vibes ""Good Things"" Magnet","1 Piece","280","345","19% OFF"
"Chumbak Palace Memoir Set of 4 Snack Plates","1 pack","1049","1999","48% OFF"
"Chumbak Palace Memoirs Chip & Dip Platter Gift Set","1 Piece","869","1999","57% OFF"
"Chumbak Royal Rani Pink Decorative Wall Plate","1 Piece","1050","1295","19% OFF"
"CHUMBAK Palampore Steel Tumbler Big Set (Pack of 2)","2 pieces","994","1295","23% OFF"
"Chumbak Palace Memoirs Royal Tusker Hand-Painted Water Can (250ml)","1 Piece","1299","1599","19% OFF"
"Chumbak Stainless Steel Lady Chettiar Sipper Bottle (750ml, Blue)","1 Piece","1439","1695","15% OFF"
"Chumbak Two Tone Colored Glass Vase","1 Piece","799","999","20% OFF"
"CHUMBAK Ceramic Let's Work Together Mug (300ml, Multicolor)","1 Piece","355","395","10% OFF"
"CHUMBAK Ceramic Couple Goals Mug (300ml, Multicolour)","1 Piece","355","395","10% OFF"
"CHUMBAK A Alphabet Ceramic Mug (300ml, Off White and Brown)","1 Piece","534","695","23% OFF"
"Teal By Chumbak Women's Metal Mesh Strap Watch, Rosegold - Forest Jade","1 Piece","1223","2795","56% OFF"
"Teal By Chumbak Ikkat Killim Tote","1 Piece","1499","2995","50% OFF"
"Teal by Chumbak Begum Baagh Wall Clock (Multicolor)","1 Piece","865","1595","46% OFF"
"Teal By Chumbak Women's Metal Mesh Strap Watch, Rosegold - Ombre Green","1 Piece","1449","2795","48% OFF"
"Teal By Chumbak Women's Leather Strap Watch, Brown - Aztec Owl","1 pack","1085","2495","57% OFF"
"Teal By Chumbak Blue Bloom Canvas Tote","1 Piece","1549","3495","56% OFF"
"Teal By Chumbak Women's Leather Strap Watch, Pink - Floral Birds","1 Piece","1329","2595","49% OFF"
"Teal By Chumbak Women's PU strap Watch, Multicolor - Ombre Aztec","1 Piece","1258","2795","55% OFF"
"Teal By Chumbak Rainforest Sling Bag","1 Piece","998","1995","50% OFF"
"Teal By Chumbak Women's PU Strap Watch, Teal - Ombre Aztec","1 Piece","1419","2795","49% OFF"
"Teal By Chumbak Women's PU Strap Watch, Pink - Carnival Elephant","1 Piece","1257","2795","55% OFF"
"Teal By Chumbak Women's Stainless Steel Watch, Rosegold - Urban Feathers","1 Piece","1415","2995","53% OFF"
"Teal By Chumbak Rainforest Long Wallet","1 Piece","1088","1995","45% OFF"
"Teal By Chumbak Women's PU Strap Watch, Brown - Fantastical Elephant","1 Piece","1759","2795","37% OFF"
"Teal By Chumbak Ikkat Killim Sling Bag","1 Piece","1199","2495","52% OFF"
"Teal By Chumbak Birds of Paradise Mini Wallet","1 Piece","749","1295","42% OFF"
