name,unit,current_price,original_price,discount
"Chumbak Drinkware Set Steel Bottle with Tumbler set","1 pc","NA","NA","NA"
"Chumbak Serveware Set - Tray and Coaster set | Teachers Day Special","1 pc","NA","NA","NA"
"Chumbak Peony Margarita Tin Candle","1 pc","NA","NA","NA"
"Chumbak Egypt Patchwork Yellow Comforter - Double Bed","1 pc","NA","NA","NA"
"Chumbak Live Slow Printed Cushion Cover","1 pc","NA","NA","NA"
"Chumbak Sundarbans 16 Inch Gondh Cushion Cover","1 pc","NA","NA","NA"
"Chumbak Island Getaway Tin Candle","1 pc","NA","NA","NA"
"Chumbak Carnival Elephant Tassel Cushion Cover","1 pc","NA","NA","NA"
"Chumbak Women's Metal Round Analog Watch | Teal","1 pc","NA","NA","NA"
"Chumbak Women'S Leather Round Analog Watch | Teal (1pc) & Shining Diva Fashion Angel Wings Platinum Plated Crystal Necklace Set For Women And Girls | 14622S (1pc) Combo","2 combo","NA","NA","NA"
