name,unit,current_price,original_price,discount
"Pepe Jeans Men's Cotton Regular Fit Mid Rise Waist Shorts | Black - XL","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, L Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Cotton Solid Tank Top | Lightweight and Soft | ATV02 | Grey - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Lounge Track Pants | Black - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Printed Dark Grey Boxer - XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Lounge Pant | Black - L","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink | L","1 pc","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - XL | Comfortable Fit","1 pc","NA","NA","NA"
"Pepe Jeans Cotton Men's Trunks - L | Sweat-resistant | Solid | Black","1 pc","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - S | Smooth Seams","1 pc","NA","NA","NA"
"Pepe Jeans Men's Printed Dark Grey Boxer - XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - M","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, S Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Navy - XL","1 pc","NA","NA","NA"
"Pepe Jeans Women's Premium Track Pant Black - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid True Blue Brief | S","1 pc","NA","NA","NA"
"Pepe Jeans Women's Premium Track Pant Black - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid True Blue Brief | XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Black - S","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Black Brief | S","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, L Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans Men's Cotton Regular Fit Mid Rise Waist Shorts | Black - S","1 pc","NA","NA","NA"
"Pepe Jeans Men's Lounge Track Pants | Black - XL","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink | L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Charcoal Melange Brief | S","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Black Brief | XXL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Track Pant Premium | Phantom Black - M","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink | L","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Black - XXL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Cotton Solid Tank Top | Lightweight and Soft | ATV02 | Grey - XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Printed Rumba Red Boxer - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - M","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, M Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - M | Smooth Seams","1 pack (2 pcs)","NA","NA","NA"
"Pepe Jeans Men's Lounge Track Pants | Black - S","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Black Brief | M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Cotton Regular Fit Mid Rise Waist Shorts | Black - XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Lounge Track Pant | Navy - M","1 pc","NA","NA","NA"
"Pepe Jeans Women's Premium Track Pant Black - M","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink - S","1 pc","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - L | Comfortable Fit","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Phantom Black - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Printed Dark Grey Boxer - XL","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, S Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - S | Comfortable Fit","1 pc","NA","NA","NA"
"Pepe Jeans Men's Printed Rumba Red Boxer - S","1 pc","NA","NA","NA"
"Pepe Jeans Cotton Men's Boxer - S | Breathable Fabric","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Cotton Brief | Blue | XL","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink - XL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Cotton Solid Tank Top | Lightweight and Soft | ATV02 | Grey - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Lounge Pant | Black - M","1 pc","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - S | Comfortable Fit","1 pc","NA","NA","NA"
"Pepe Jeans Premium Cotton Hipsters (Pack Of 3), Multicolor, S Panty","1 pack (3 pcs)","NA","NA","NA"
"Pepe Jeans Men's Cotton Solid Tank Top | Lightweight and Soft | ATV02 | Grey - S","1 pc","NA","NA","NA"
"Pepe Jeans Cotton Men's Trunks - L | Sweat-resistant | Solid | Black","1 pc","NA","NA","NA"
"Pepe Jeans 100% Cotton Men's Vest - M | Smooth Seams","1 pack (2 pcs)","NA","NA","NA"
"Pepe Jeans Men's Lounge Track Pants | Black - XL","1 pc","NA","NA","NA"
"Pepe Jeans Mens Dry Fit Gym T-Shirt | Pink - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Black Brief | S","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid True Blue Brief | XXL","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Phantom Black - L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Solid Charcoal Melange Brief | L","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - XL","1 pack (2 pcs)","NA","NA","NA"
"Pepe Jeans Men's Printed Rumba Red Boxer - M","1 pc","NA","NA","NA"
"Pepe Jeans Men's Premium Track Pant | Astral Blue - L","1 pc","NA","NA","NA"
